"Fact","Fact Note","Washington city, District of Columbia","Value Note for Washington city, District of Columbia","Salt Lake City city, Utah","Value Note for Salt Lake City city, Utah","San Antonio city, Texas","Value Note for San Antonio city, Texas"
"Population estimates, July 1, 2019,  (V2019)","","705,749","","200,567","","1,547,253",""
"Population estimates base, April 1, 2010,  (V2019)","","601,767","","186,433","","1,326,161",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","17.3%","","7.6%","","16.7%",""
"Population, Census, April 1, 2010","","601,723","","186,440","","1,327,407",""
"Persons under 5 years, percent","","6.5%","","6.4%","","7.1%",""
"Persons under 18 years, percent","","17.8%","","20.6%","","25.3%",""
"Persons 65 years and over, percent","","11.9%","","10.8%","","11.8%",""
"Female persons, percent","","52.5%","","48.6%","","50.6%",""
"White alone, percent","","41.0%","","73.1%","","80.5%",""
"Black or African American alone, percent","(a)","46.9%","","2.3%","","6.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","1.4%","","0.8%",""
"Asian alone, percent","(a)","3.9%","","5.4%","","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%","","1.5%","","0.1%",""
"Two or More Races, percent","","2.9%","","3.4%","","2.8%",""
"Hispanic or Latino, percent","(b)","10.9%","","21.6%","","64.2%",""
"White alone, not Hispanic or Latino, percent","","36.2%","","65.4%","","24.8%",""
"Veterans, 2014-2018","","26,936","","7,012","","103,935",""
"Foreign born persons, percent, 2014-2018","","14.0%","","16.7%","","14.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","X","","X",""
"Owner-occupied housing unit rate, 2014-2018","","41.8%","","48.4%","","54.4%",""
"Median value of owner-occupied housing units, 2014-2018","","$568,400","","$289,200","","$136,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,456","","$1,534","","$1,351",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$672","","$482","","$465",""
"Median gross rent, 2014-2018","","$1,487","","$938","","$958",""
"Building permits, 2019","","X","","X","","X",""
"Households, 2014-2018","","281,322","","78,229","","497,794",""
"Persons per household, 2014-2018","","2.29","","2.43","","2.94",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","80.4%","","78.5%","","82.9%",""
